NewsTitle,story
How Cannabis Cash Crunch Will Flatten Pot Stocks,"Cannabis stocks are getting crushed, creating financing problems for the companies that issue them. The North American Marijuana Index, which tracks leading cannabis stocks like Canopy Growth Corp. ( CGC ), Aurora Cannabis Inc. ( ACB ), Cronos Group Inc. ( CRON ), and Tilray Inc. ( TLRY ), has fallen 57% over the past year. Raising cash through the issuance of new shares at such low valuations is unappealing, but pot producers have limited alternatives, according to The Wall Street Journal . Key Takeaways Cannabis stocks have lost more than half their value over past year. Equity financing loses its appeal at such low valuations. Banks are reluctant to lend as pot is still federally illegal in U.S. Cash crunch comes as Canadian pot sales are expected to slow. What It Means for Investors Most publicly traded companies raise cash through a mix of both equity financing and debt financing , and debt financing is often the cheaper option. But pot producers face a problem when it comes to debt financing that is specific to their industry. Large banks don’t want to lend to them because cannabis is still federally illegal in the U.S. Dealing with potential legal headaches is one risk banks just don’t want to take. Another risk banks are reluctant to take is lending to companies whose ability to earn consistent profits is still in question. In a nascent industry like cannabis, most companies fall into that category. However, Green Thumb Industries is one cannabis firm that was fortunate to raise $105 million through a bond issuance in May. The company managed to convince creditors of its path to profitability, but offering a 12% coupon on the bond also helped. Since then, debt costs have risen. The limited ability to tap debt markets means most pot producers end up issuing new shares in order to raise cash. But that’s an option that no longer looks appealing after the obliteration of market valuations over the past year. After peaking at over $17 billion in late April of this year, Canopy Growth’s market capitalization has fallen 60% to just under $7 billion. The amount of capital being raised in the cannabis industry is falling in tandem with the drop in market values. The amount raised during the week that ended 25 October fell to just $27 million from $708 million a year ago. “The recent downturn in cannabis stocks has spilled over to the private-equity and debt markets,” Tony Cappell, co-founder of cannabis finance firm Green Ivy Capital, told the Journal . This cash crunch comes at a vulnerable time for marijuana companies as growth in pot demand in Canada, where the drug is fully legalized, starts to slow. Analysts at Stifel have cut their sales expectations for Canada’s producers by 10% to 20% for the most recent quarter that ended in September and expect next year’s sales to be lower than previously thought, according to Barron’s . That’s likely to put even more downward pressure on cannabis stocks. Looking Ahead However, the analysts suggest that investors focus on companies with large hoards of cash in this currently cash-strapped environment, including Canopy Growth and Cronos Group. While other companies will struggle to raise funds, the firms sitting on piles of cash will be the ones still able to invest in an industry that has the potential to turn into a “$200 billion global opportunity.”"
Global Investment Presents Opportunity,"Market Moves With U.S. markets stuck in narrow trading ranges, investors have shown signs that they are willing to look around for opportunity. Investors frequently neglect opportunities in markets outside their own country or region. However, right now might be a good time for U.S.-based investors to look around at which markets are showing a bullish trend within their own countries. While the S&P 500 ( SPX ), the Nasdaq 100 ( NDX ), and the Dow Jones Industrial Average ( DJX ) all ended their third day in a row nearly unchanged, investors might consider looking at Taiwan-based companies. The chart below shows a year-to-date comparison of exchange traded funds from iShares that track MSCI indexes for stocks in various countries, and compares them to the iShares emerging markets ETF ( EEM ) for comparison. Although the South Korea ETF ( EWY ) has shown lackluster performance on a fallout from trade talks between the U.S. and China, other countries in the region, such as Japan ( EWJ ), Australia ( EWA ), and Taiwan ( EWT ) have outpaced the S&P 500 so far this year. Health Care Stocks Are Becoming More Attractive Health care stocks have lagged behind all other market sectors for 2019 except the energy sector. However, over the past month, these stocks have begun to rise faster than average to bring the sector into a position more competitive with other sectors in the market. The chart below shows how State Street's health care sector-tracking ETF ( XLV ) moved from its short-term position in October as the sector with the lowest returns to being nearly on par with State Street's S&P 500-tracking ETF ( SPY ). Surprisingly, this is happening without the leadership of the most heavily represented stocks in the sector. Read more: Why Morgan Stanley Says the 60/40 Portfolio Is Doomed How $3.4 Trillion in Sideline Cash will Boost Markets Why Goldman Says Go 'Overweight' U.S. With Stocks at Record Levels Medtronic Outpacing Other Health Care Stocks The price chart for Medtronic plc ( MDT ) shows that it has moved higher than the average stock in the health care sector. In fact, four out of the five largest holdings in the health care sector ETV (XLV) are showing lower returns than XLV on a year-to-date basis. Only Medtronic, the fifth largest holding in the ETF, is outpacing the average. If this sector surges higher in the near future, it seems a good bet that Medtronic stock will lead the way. The Bottom Line Stocks closed nearly unchanged for the third day in a row. Global investment opportunities appear to be available in Taiwan, Japan, Australia, and Germany. The health care sector has had a slow start for the year but may have a nice finish since investors are optimistic and the stocks in that sector are comparatively undervalued. Among these stocks, Medtronic is positioned to be a leader. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
The Hidden $7.7 Trillion Catalyst That's Fueling U.S. Stocks,"While Wall Street tends to focus almost exclusively on the attitudes and trading patterns of U.S.-based investors, a surge of buying from overseas has been an overlooked source of strength for U.S. stock prices. Holdings of U.S. equities by foreign private investors reached a record high of $7.7 trillion in July, more than double the amount in 2012, according to the most recent data compiled by the U.S. Treasury Department , as cited by The Wall Street Journal in a detailed report summarized below. “What’s happened in the last 10 years is that high returns have also been associated with the safety that comes with the U.S.,” observes Paul Sandhu, head of multi-asset quant solutions for Asia-Pacific at BNP Paribas Asset Management. “Usually when you think of safety, you equate that with low returns. But that hasn’t been the case,” he added. Specifically, the S&P 500 Index has outperformed non-U.S. stocks in 9 of the past 10 years, including 2019. Key Takeaways Holdings of U.S. stocks by foreign private investors are at a record. The U.S. stock market is offering them better returns and less risk. U.S. stocks have beaten overseas stocks handily in the last decade. Future growth prospects are also more robust in the U.S. Significance for Investors “You’re seeing a real divergence between growth prospects in the U.S. equity market and the rest of the world,” according to Hannah Anderson, a global market strategist at JPMorgan Asset Management in Hong Kong. Right now, despite high valuations , U.S. stocks remain attractive to foreign investors based on better projected GDP growth than other developed economies, a strong labor market, and robust consumer spending . The consensus among analysts calls for 9.7% growth in EPS for the S&P 500 in 2020, per data from FactSet Research Systems. The comparable figures for major overseas indices are 8.6% for the STOXX 600 in Europe and just 2.6% for the Nikkei 225 in Japan. After the 2008 financial crisis, the U.S. economy and banking system staged a much faster rebound than Europe. Indeed, since the crisis, U.S. banks have become increasingly dominant internationally, while their smaller and less profitable European rivals have become less competitive and forced to retreat from the U.S. market, per another report in the Journal . Meanwhile, Japan has been mired in decades of economic stagnation, with no end in sight. Additionally, the U.S. has led the technology boom that is changing the world economic landscape, including financial markets. Moreover, U.S.-based giant tech companies, such those in the so-called FAAMG group, are both the tech leaders worldwide and among the largest and most influential corporations within the U.S. itself. As a result of all this, foreign private investors should continue to be net buyers of U.S. equities, giving the U.S. market added upward impetus. Moreover, the $7.7 trillion figure cited above does not include the holdings of sovereign wealth funds and central banks . As a result, total international holdings of U.S. stocks, and potential future purchases thereof, are probably significantly greater. Real estate is an example of a countervailing trend, as foreign investors were net sellers of U.S. commercial properties in Q2 2019, per another Journal article. This was the first quarter since 2013 in which they were net sellers. However, in reducing their net exposure to U.S. commercial real estate by $0.8 billion in the quarter, these investors appear to have been freeing up funds for redeployment into U.S. stocks and bonds, where foreign buying has been brisk. Looking Ahead Another source of demand for U.S. stocks comes from U.S.-based investors who are shunning international equities, concerned about geopolitical tensions and slower growth abroad. “People just don’t want as much foreign stocks than they used to,” as financial advisor Scott Hanson told CNBC . “I think a lot of people are questioning what’s the point of taking that risk,” he added. A potential longer-term negative for the U.S. economy is declining foreign direct investment . After reaching a high of $440 billion in 2015, it fell sharply in 2016 and 2017, before recovering partially to $296 billion in 2018, 38% below the 2015 peak, per CNN . Not surprisingly, the biggest drop has been in investment from China."
"U.S., China Will Cancel Tariffs in Stages: China's Commerce Ministry","Global markets were lifted by news that the U.S. and China will rollback additional tariffs in stages as they work toward a ""phase one"" deal. At a press conference reported on by the state-owned Global Times, China's Ministry of Commerce spokesperson Gao Feng said the two countries canceling tariffs imposed on each other during the trade war is an important condition for any agreement between them. He added that this will ""help stabilize market expectations, benefit the economies of the two countries and the world economy, and benefit producers and consumers."" The number of tariffs removed will be negotiated, and there was no timeline provided. The decision comes after two weeks of constructive discussions between the two leaders where core concerns were resolved, according to Feng. The state-owned Xinhua News Agency also reported this morning that China is contemplating lifting restrictions on poultry imports from the U.S. put in place after the 2015 bird flu outbreak in the U.S.. U.S. tariffs cost China $35 billion in the first half of 2019, according to a new report from UN trade agency, UNCTAD. The hardest-hit Chinese manufacturing sector has been computers and other office machinery, and communications equipment, where exports have declined by $15 billion, according to the press release . Sixty-three percent of China's export losses was diverted to other competitors including Taiwan, Mexico, the European Union and Vietnam. The following chart from UNCTAD displays the evolution of the trade war that began in 2018. Evolution of U.S. China Trade War. UNCTAD Today's developments come as a ray of hope to investors thinking there is no end in sight for the trade dispute that hurts both economies. Dow futures rose over 140 points and Europe's STOXX 600 index jumped to its highest point in over four years. According to a previous Reuters report, Chinese officials have been pushing for all U.S. tariffs on billions of dollars worth of goods to be dropped ""as soon as possible."" Reuters added that a deal could be signed next month by the presidents of the two countries at a yet-to-be-determined location."
Low Volatility Could Be a Bullish Indicator,"Market Moves If it is true that bullish markets are less volatile than bearish or sideways markets, then it is worth considering whether the unusually low volatility in the market indexes over the past week is a forecast of a continued upward trend in U.S stock markets. If so, then the fact that this low volatility has occurred as the S&P 500 index ( SPX ) reached new historic highs is not coincidental. The chart below reviews a weekly look at State Street's SPDR S&P 500 Index tracking ETF ( SPY ). Shown below the price chart is a study that tracks a 10-week average true range. This version of the study is measured as a percentage of the current price of SPY. The study shows that the difference between the high and the low prices in the past week was unusually narrow, so much so that only a handful of weeks in the past two years traded in such a tight range. In 2017, this range was actually fairly common, though still on the lower half of trading ranges. That was the last significantly bullish year for the index. Coming now one week after the market broke into new high territory, it may be that this is an indication of a low-volatility upward trend. This kind of trend is similar to earlier years in this decade, and if such a trend were beginning to take shape right now, investors would be wise to consider whether it could last into 2020. Trading Range on the 10-Year Treasury Note Is Troubling One interesting indication that could actually help to push stock market indexes higher might simply be a flight out of bond funds fueled by rising interest rates. Interest rates (or yields) are inversely correlated with bond prices. So if interest rates are going to rise, the bond prices are going to fall. This is bad news for those who have their money in fixed-income funds that track bond prices such as iShares 20+ Year Treasury Bond ETF ( TLT ). On the other hand, it is good news for the stock market in general, since money coming out of bond funds will look for a place to go. Typically, investors moving their money out of bonds are likely to move their money to stocks as an alternative. Such a dynamic taking place through the end of the year could fuel another stock market rally. The chart below shows why this dynamic could play out. The level of volatility in interest rate changes over the past three months, as tracked by the average true range on the 10-year Treasury Note ( TNX ), is consistent with times in the past several years where interest rates have risen for the following year. Read more: 5 Lessons From WeWork’s $40 Billion Meltdown Fox Corporation Broadcasts Upbeat Quarterly Earnings Disney Stock Rallies to 3-Month High After Strong Quarter Auto Parts Manufacturers Should Be Wary A small company in the auto parts manufacturers industry group reported disappointing earnings today as its stock dropped by over 40%. Shares of Modine Manufacturing Company ( MOD ) fell as the company announced its sales for HVAC-related products were disappointing and would likely influence company results for the next quarter. Perhaps this is an isolated event in this industry; however, the chart below depicts the fact that price action for Modine shares were highly correlated to the movements of a portfolio of the top five stocks in this industry group. These stocks include Johnson Controls International plc ( JCI ), BorgWarner Inc. ( BWA ), LKQ Corporation ( LKQ ), Aptiv PLC ( APTV ), and Lear Corporation ( LEA ). The important question for these companies, not to mention their investors, to consider is whether today's results are an indication of a larger trend at play among consumers. The Bottom Line Stocks closed the week with a very tight range, so tight that it is in the lowest 5% of such results for the past two years. The lower volatility may be a bullish indication. Volatility patterns on TNX may also corroborate this idea, as it forecasts reduced bond prices, which could drive investors out of bonds and into stocks. Meanwhile, increased volatility among one of the smaller companies in the auto parts industry could signal trouble ahead for the rest of the group. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
7 Stocks Poised to Rise as Market Enters Best Stretch in 8 Decades,"The period from November through January historically has been the best three-month stretch for stocks since 1936, according to analysis by Bank of America Merrill Lynch cited in a recent report by Business Insider . Tax-motivated selling by mutual funds and other investors drive this seasonal pattern. Meanwhile, strategists at BofAML have identified 16 stocks with solid fundamentals . that should rebound after tax-motivated selling. Here are 7 of them: CBS Corp. ( CBS ), Viacom Inc. ( VIAB ), Centene Corp. ( CNC ), DuPont de Nemours Inc. ( DD ), F5 Networks Inc. ( FFIV ), Kroger Co. ( KR ), and DXC Technology Co. ( DXC ). Key Takeaways The best 3-month period for stock gains is November-January. This is based on history from 1936 onwards. Tax loss selling by mutual funds and other investors create bargains. Significance for Investors Based on data since 1936, BofAML finds that the S&P 500 Index posts an average total return , dividends included, of 4.4% in the three month period from November through January. The average total return for any other three-month period is 2.9%. BofAML looked at 12 different periods, each with a different set of three consecutive months. BofAML attributes their finding to the fact that mutual funds must sell a stock by Oct. 31 to recognize a capital loss for tax purposes during the same calendar year. After that deadline passes, such stocks often recover. Additionally, other investors engage in tax loss selling, or tax loss harvesting , late in the year. This depresses the prices of losing stocks yet more, often creating bargains that rebound in January. Media companies CBS and Viacom are slated to merge, and both are valued cheaply, with forward P/E ratios less than 7x projected next 12 month earnings. Both also are down by more than 12% year-to-date. Their cheap valuations and sinking stock prices suggest low expectations about future growth, with the combined company lagging in the increasingly competitive video streaming market, according to Barron's . Grocery chain Kroger has been losing market share to Walmart Inc. ( WMT ), but the stock bounced by 11.4% on Nov. 5 based on profit guidance for its fiscal year 2020 that exceeds consensus estimates. After retreating by 3% on Nov. 6, its share price is virtually unchanged in 2019, with a forward P/E under 12x. For fiscal 2020, Kroger projects same store sales , excluding fuel, to grow by 2.25%, free cash flow (FCF) of $1.6 billion to $1.8 billion, outlays of $500 million to $1 billion on share repurchases , and significant growth in ""alternative profit businesses,"" per Zacks Equity Research. Beyond fiscal 2020, the company forecasts annual earnings growth of 3% to 5% and strong FCF that generate annual total returns to shareholders between 8% and 11%. The ""Restock Kroger"" program is designed to produce operational efficiencies while also giving consumers greater choice and better service at lower prices. A previous report presented 10 other stocks that may benefit from tax loss selling, plus year-end window dressing by fund managers. Veteran market watcher Mark Hulbert , using data from 1926 onwards, found that a hypothetical portfolio of the worst-performing 10% of stocks during the prior 12 months, rebalanced monthly, delivered, on average, monthly losses in Q4, but significant monthly gains in Q1. Looking Ahead While history indicates that tax loss selling can create bargains, past performance does not guarantee future results. Also, Hulbert warns that ""it’s important to be choosy and not indiscriminately buy just any stock that has performed dismally."" Like BofAML, he also applies additional analysis to select beaten-down stocks with attractive fundamentals."
Gold ETFs Approach Support After Sell-Off,"Ongoing trade tensions between the United States and China, along with geopolitical tension in the Middle East, have underpinned gold prices throughout most of 2019. Furthermore, a weakening U.S. dollar this year brought about by three Federal Reserve interest rate cuts has helped support the precious metal, as the two assets typically have an inverse correlation. However, the commodity opens this week fresh off its biggest five-day fall since May 2017 – down roughly 3%, after reports emerged last Thursday that Washington and Bejing had agreed to roll back tariffs on each others' goods if the first phase of a trade deal is agreed upon by both countries. While the yellow metal initially sold off after the news surfaced, the move may be short lived after President Donald Trump cautioned Friday that he had not approved the deal negotiated between U.S. and Chinese officials. ""China would like to get somewhat of a rollback, not a complete rollback, 'cause they know I won’t do it,"" Trump said, as reported by Reuters . ""I haven't agreed to anything,"" the president added. Moreover, with stock market valuations becoming lofty, any pullback in sentiment may see risk-on assets come under selling pressure, helping gold prices regain their luster. From a technical standpoint, the three gold exchange-traded funds (ETFs) outlined below have formed chart patterns that indicate prices may be about to resume their long-term uptrend. Below, we review the metrics of each fund and put forward some alluring trading ideas. SPDR Gold Shares (GLD) Launched in 2004, the SPDR Gold Shares ( GLD ) invests directly in physical gold by holding the commodity in London vaults, offering investors and traders a vanilla-like product for following the precious metal's spot price performance. A daily trading volume of roughly 9 million shares, coupled with an average spread of just 0.01%, makes the fund suitable for both long- and short-term strategies. As of Nov. 11, 2019, GLD controls an enormous asset base of $44.46 billion, charges a 0.40% annual management fee, and has returned nearly 20% year to date (YTD). Since rising 22% between May and August, GLD shares have tracked lower within an orderly descending channel . If last week's steep pullback continues in subsequent trading sessions and the relative strength index (RSI) moves into oversold territory, look for an entry point toward the pattern's lower trendline at the $136 level. Once in a trade, consider setting a profit target near the channel's top trendline at $142 and placing a stop-loss order about $2.50 below the execution price. Before committing capital, traders may decide to wait for price action to show signs of a reversal, such as the print of a hammer or piercing candlestick pattern. StockCharts.com VelocityShares 3x Long Gold ETN (UGLD) The VelocityShares 3x Long Gold ETN ( UGLD ) aims to deliver three times the daily investment results of the S&P GSCI Gold Index ER, making the fund a cost-effective product for those who want to take a geared bullish bet on gold prices. Traders should, however, be aware that returns greater than one day may deviate from the advertised leverage due to the effect of compounding . More than 130,000 shares change hands daily, providing ample liquidity for active traders. However, the ETN's average spread of 0.06% may be slightly too wide to book minuscule scalping profits. The fund charges an expensive 1.35% management fee, although this is less important given its short-term tactical mission. UGLD has assets under management (AUM) of $191.04 million and sports a YTD return of 35.42% as of Nov. 11, 2019. The UGLD share price has also carved out a descending channel over the past three months to create high-probability support and resistance zones for actioning trades. Those looking to buy the fund should think about setting a limit order close to the pattern's bottom trendline at the $124 level. In terms of trade management, consider placing a stop order somewhere below $118 and targeting a move up to $140, where price may encounter selling pressure from the channel's upper trendline and 50-day simple moving average (SMA). StockCharts.com Direxion Daily Gold Miners Index Bull 3X Shares (NUGT) With net assets of $1.58 billion, the Direxion Daily Gold Miners Index Bull 3X Shares ( NUGT ) has an objective to return three times the daily performance of the NYSE Arca Gold Miners Index. The tracked benchmark comprises global gold and silver mining firms that operate in both developed and emerging markets. Its top two holdings – Colorado-based Newmont Goldcorp Corporation ( NEM ) and Canadian gold mining giant Barrick Gold Corporation ( GOLD ) – carry a cumulative weighting of about 22%. Due to the ETF's use of derivative instruments to achieve leveraged returns, its expense ratio of 1.35% isn't cheap. More importantly, dollar volume liquidity of more than $335 million most days, combined with an average two-cents spread, keep trading costs minimized. As of Nov. 11, 2019, NUGT issues a dividend yield of 0.35% and has gained 50% on the year. After setting a 52-week high just above $45 in early September, NUGT shares have retraced within a textbook falling wedge pattern. As global financial markets moved into ""risk-on"" mode last week, the ETF's price tumbled toward a confluence of support from the bullish chart pattern's lower trendline and 200-day SMA. Those who buy at current levels should anticipate an upside reversal, with a possible test of the previously mentioned 12-month high at $45.10. Manage risk by positioning a stop order just below $24 and raising it to the breakeven point if price climbs above 50-day SMA. StockCharts.com"
ETF Buying Is Huge Right Now – What's Next?,"Hockey is my favorite sport. I still enjoy football strategy, soccer drama, basketball high scores, and baseball stats. Watching hockey is amazing but can be hard because it's so fast. Bobby Hull shot the fastest puck in recorded history at 118.3 miles per hour. Imagine a one-third of a pound of frozen hard rubber whizzing right at your face at more than 100 mph. That helps explain the lack of teeth in the sport: actual teeth. Hockey action never stops, even when the whistle blows. But don't just watch the player with the puck – watch as much of the ice as you can. Sometimes, everyone rushes for the puck at once. Other times, players set up in a systematic way to execute plays. The past couple of weeks show why the current market is more like everyone rushing for the puck at the same time. The stock market is almost like all sports combined. And just like sports, there are endless subtle nuances to pick up on. I pay attention to big money moving in and out of stocks.  It dictates play and direction. Sometimes, it might be a lone hedge fund affecting a single stock or exchange-traded fund (ETF). When the big money wants to buy more shares than available, the price goes up. Other times, big money moves together en-masse . ETFs are the best example. Along with tracking 5,500 stocks per day for big buying and selling, I also track thousands of ETFs too. (I don't sleep much.) I've written a series of three white papers on how ETFs have grown from novelty in the early 1990s to the main event now. Financial advisors morphed into asset gatherers rather than asset managers, making ETFs the main weapon of choice in adding or reducing equity exposure. The ETF series of white papers can be found here: Sharks, High Frequency, and ETFs The Evolution and Mutation of ETF Sharks Since October 2016 ETF Doom-Sharks: What Really Caused the Meltdown in 2018? But you don’t need to read the 65-plus pages I've written about it. Here, I summarize it for you in two simple charts. The first chart shows that, when there's sustained buying in ETFs, it pushes the market higher. Continual buying is the gas on the bull-fire. But when it vanishes, the market goes soft. It's very clear from this that big ETF inflows have a lot to do with market rallies. www.mapsignals.com The second chart shows what really happens in that vacuum of buying. If it's accompanied by dumping of ETFs, guess what? The market falls quickly. www.mapsignals.com This seems obvious, but it's not often discussed. I tell you this because last week saw the biggest ETF buying since the week of March 15. Since many ETFs are a collection of stocks, we could assume that last week saw serious buying in stocks. The yellow numbers mean above average buying in that sector. As you can see, it was major buying nearly across the board. There were three notable exceptions: real estate, energy, and utilities … they all were sold. But industrials, financials, and materials saw massive buying. Tech, discretionary, and health care also felt the juice. Even telecom and staples found love. This is clear risk on, and notice the headlines? The market is strong right in the face of impeachment. www.mapsignals.com What does buying like this mean going forward? Looking back at similar setups, we saw two recent times, but with different characteristics. Nov. 28, 2017, to Dec. 4, 2017: Buying was big for five days. The Big Money Index was just starting to rise from 65% to 69%: nowhere near overbought. Remember, overbought is when 80% of all signals are buys vs. sells on a 25-day moving average. The S&P 500 rose less than 1%, and then buying cooled off after the five-day run. Jan. 2, 2018, to Jan. 26, 2018: Buying was big for 18 straight days. The Big Money Index went from 77% to 82% (80% and above is extremely overbought). The S&P 500 rose 6.5% over those 18 days, then plummeted. This chart shows the start dates when a five-plus day stretch of big buying started: How does today compare to those two examples above? Today's buying looks like scenario number one for two reasons: The Big Money Index surged from 58% to 66% over the past five days. That is similar to Nov. 2017 (not overbought, just starting to rise). The S&P 500 rallied less than 1% in the past five days. Here’s the deal: The S&P 500, Dow Jones Industrial Average, and NASDAQ are all at highs. Sustained buying won't last forever, but I do expect more buying to come in order to get us to overbought. Enjoy the ride if you are long – but have a game plane for once/if we get overbought. If you are on the sidelines, I would recommend staying put. Pullbacks are opportunities, and they will come. The bottom line: ""Don’t chase a raging bull."" The time to buy was weeks ago. This is what I said in mid-October when I said that the bulls are ready to run. The important thing is to tame fear of ""when will the market correct?"" Justine Musk put it nicely: ""Fear is a powerful beast. But we can learn to ride it."" The Bottom Line We (Mapsignals) continue to be bullish on U.S. equities in the long term, and we see any pullback as a buying opportunity. Weak markets can offer sales on stocks if an investor is patient. Disclosure: The author holds no positions in any stocks mentioned at the time of publication. Investment Research Disclaimer"
Why Investors Are Buying Beaten Up Assets,"Investors are bidding up previously underperforming asset classes, such as commodities, currencies, cyclical stocks , and emerging market stocks. The bargain hunters are betting that the global economy is bottoming out, based on signs that the U.S. and China are finally resolving their trade conflict, stimulative interest rate cuts by major central banks , and rising hopes for an orderly Brexit , per a detailed report in The Wall Street Journal summarized below. “We think it’s time to deploy money into markets broadly,” says Olivier Marciot, senior vice president at investment management firm Unigestion. “It’s like a baby Goldilocks environment ,"" he added, referring to solid economic growth, low inflation, and low interest rates. Key Takeaways A variety of previously underperforming assets have been surging. Optimism about trade and economic growth has driven buying. However, injections of liquidity by central banks are another factor. Significance for Investors Candice Bangsund, a portfolio manager at Fiera Capital, is another optimist. “There are some early indications that the worst may be behind us and the global economy is finding a floor,” she said. She is encouraged by a three-month upswing in the JPMorgan Global Manufacturing Purchasing Managers’ Index, and by reported progress in U.S.-China trade negotiations. The British pound has risen by more than 6% from recent multiyear lows, and a variety of currencies are up in tandem with a rebounding Chinese yuan. Emerging market stocks had a steep selloff earlier this year, but have recovered since then. The iShares MSCI Emerging Markets ETF ( EEM ) dropped by 13.6% from a high in April to a low in August, but is up by 12.0% since then. Among commodities, there has been a broad rally including oil, copper, and coffee, to name a few. Another indicator of increased bullishness about the economy is a rising yield on the 10-Year U.S. Treasury Note . From a low of 1.43% on Sept. 3, it closed at 1.92% on Nov. 11. Other safe haven assets that were up earlier in the year, such as gold and the Japanese yen, also are down recently. Cyclical U.S. stocks are seeing increased demand from investors, and have outperformed recently. For Q3 2019 through Nov. 11, the S&P 500 industrial sector is up by 5.20% and the S&P 500 financial sector has gained 5.94%, versus a 3.70% increase for the entire S&P 500 Index, per S&P Dow Jones Indices . Bank stocks also should benefit going forward from revived investor interest in value stocks , Barron's reports. Despite being vastly healthier than they were prior to the 20o8 financial crisis, their valuations are still much lower than they were back then, even after enjoying recent boosts to profits from tax reform and deregulation. The forward P/E ratio for the S&P 500 financial sector was 12.6 times projected next 12 months' earnings, versus 17.5 times for the full index, making it cheapest of the sectors, per I/B/E/S data by Refinitiv as of Nov. 6 and reported by Yardeni Research . Looking Ahead Morgan Stanley remains a leading pessimist among major investment firms. ""We lean defensive as we expect pressure on earnings,"" according to their current Weekly Warm Up report. Regarding recent ""excitement"" about rebounding purchasing managers' indices (PMIs) , they believe that ""the rebound may already be fully priced."" They also warn that, rather than being ""a definitively bullish signal on future growth,"" much of the recent rally in asset prices actually may have been ""due to excess liquidity provisions from the Fed and ECB in particular."""
Home Sweet Home,"Market Moves The 10-year Treasury Note Index ( TNX ) fell slightly in today's trading session. This is good news for prospective home buyers and homebuilders alike because lower rates increase purchasing power and make homes more affordable. While some indications suggest that interest rates may rise, perhaps interest rates won't matter so much since they are near historic lows anyway. After all, the homebuilding industry may be entering what is thought to be the best season of the year for those companies' stocks. While the S&P 500 ( SPX ), the Nasdaq 100 ( NDX ), and the Dow Jones Industrial Average ( DJX ) were little changed for the day, bond prices moved higher by 0.65% (corresponding to the drop in interest rates). So far this year, the home building industry has benefited from the downward trend in rates this year. The chart below shows that the industry has significantly outperformed the S&P 500 for the year so far. Stocks in the industry group are up over 50% on average. Homebuilder Stocks Maintain Lead over Market Averages Shares for home builder Meritage Homes Corporation ( MTH ) have already doubled their price so far this year. They represent the highest performance from the six largest holdings in the State Street;s SPDR S&P Homebuilders ETF ( XHB ). The other five stocks include KB Home ( KBH ), D.R. Horton, Inc. ( DHI ), Pulte Home ( PHM ), Lennar Corporation ( LEN ), and Toll Brothers, Inc. ( TOL ). Five companies in this group have surpassed earnings expectations in their recent quarter reports. The remaining one, Toll Brothers, is scheduled to report earnings Dec. 9. Read more: 3 Homebuilding Stocks to Play a Seasonality Rally Starbucks Stock Could Reward Dip Buyers 3 Europe ETFs Breaking Out Ahead of Brexit Deadline D.R. Horton Still Beating Expectations Shares of D.R. Horton jumped yesterday and maintained their position in today's trading. D.R. Horton is the largest company in the homebuilder sector by market capitalization and beat analyst expectations in its last earnings report, sending the stock to new all-time highs. This company managed to increase sales, increase profit, and hold expenses even while returning an industry group best of 17% return on equity . If the biggest company in this space is capable of increasing all its metrics, then it is likely that other companies in the space still have room to grow as well. The Bottom Line For the 21st day in a row, the S&P 500 traded within a below-average sized range. This long streak of decreasing volatility puts the stock market in such a state that the change in interest rates and bond markets is larger by comparison, even as the 10-year note fell slightly today. Low interest rates have helped homebuilder stocks gain anywhere from 50% to 100% on the year. Even the biggest company in the group D.R. Horton managed to improve all of its metrics this year. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
